(epoch#1) auroc: 0.6391851568763357, lr: 0.0010000000474974513
(epoch#2) auroc: 0.6696942788920819, lr: 0.0010000000474974513
(epoch#4) auroc: 0.6796983480292694, lr: 0.00010000000474974513
(epoch#5) auroc: 0.7372076791272371, lr: 0.00010000000474974513
(epoch#6) auroc: 0.7432755720453619, lr: 0.00010000000474974513
(epoch#7) auroc: 0.7534937793259705, lr: 1.0000000656873453e-05
(epoch#8) auroc: 0.758981363885348, lr: 1.0000001111620804e-06
(epoch#9) auroc: 0.7639464032107528, lr: 1.000000082740371e-07
(epoch#10) auroc: 0.765314556470173, lr: 1.000000082740371e-08
(epoch#18) auroc: 0.7656279463549117, lr: 9.99999993922529e-09
